company_name,job_type,job_name,description,qualifications
Agility Consulting International,Unknown,DevOps CI/CD Engineer,Extracted via local fallback parser (LLM unavailable).,CI/CD Engineer
"ODME SOLUTIONS, LLC",Unknown,CI/CD & DevSecOps Engineer (CTM / GCCS-M Containerization) with Security Clearance,Extracted via local fallback parser (LLM unavailable).,CI/CD Engineer
NVIDIA,Unknown,"San Diego, CA",Extracted via local fallback parser (LLM unavailable).,CI/CD Engineer
Pure Talent Consulting,Unknown,Infrastructure Engineer,Extracted via local fallback parser (LLM unavailable).,Infrastructure as Code Engineer
Earnest,Unknown,Cloud Engineer II,Extracted via local fallback parser (LLM unavailable).,Infrastructure as Code Engineer
Kforce Inc,Unknown,AI Engineer,Extracted via local fallback parser (LLM unavailable).,Infrastructure as Code Engineer
"Newtown Square, PA",Unknown,"Sr. Engineer, Cloud",Extracted via local fallback parser (LLM unavailable).,Infrastructure as Code Engineer
"Newtown Square, PA",Unknown,Intuitive.ai,Extracted via local fallback parser (LLM unavailable).,Infrastructure as Code Engineer
Apple,Unknown,DevOps Engineer,Extracted via local fallback parser (LLM unavailable).,Release Engineer
Paramount,Unknown,DevOps Engineer,Extracted via local fallback parser (LLM unavailable).,Release Engineer
Apple,Unknown,DevOps Engineer - Info Apps,Extracted via local fallback parser (LLM unavailable).,Release Engineer
Unknown Company,Unknown,DevOps Engineer,Extracted via local fallback parser (LLM unavailable).,Release Engineer
Unknown Company,Unknown,Rain,Extracted via local fallback parser (LLM unavailable).,Release Engineer
XPENG,Unknown,"Machine Learning Engineer - LLM, AI & Robotics",Extracted via local fallback parser (LLM unavailable).,Automation Engineer
BayOne Solutions,Unknown,Robotics Engineer,Extracted via local fallback parser (LLM unavailable).,Automation Engineer
Atlas OT,Unknown,Sr. Controls and Automation Engineer,Extracted via local fallback parser (LLM unavailable).,Automation Engineer
"Scranton, PA",Unknown,Automation Engineer I,Extracted via local fallback parser (LLM unavailable).,Automation Engineer
"Scranton, PA",Unknown,General Dynamics Ordnance and Tactical Systems,Extracted via local fallback parser (LLM unavailable).,Automation Engineer
Analytica,Unknown,Senior OpenShift Engineer,Extracted via local fallback parser (LLM unavailable).,Containerization Engineer
OpalSoft,Unknown,DevSecOps Engineer,Extracted via local fallback parser (LLM unavailable).,Containerization Engineer
"Torch Technologies, Inc.",Unknown,Containerization Engineer,Extracted via local fallback parser (LLM unavailable).,Containerization Engineer
GAC Solutions,Unknown,Kubernetes Engineer,Extracted via local fallback parser (LLM unavailable).,Containerization Engineer
Arkhya Tech. Inc.,Unknown,DevSecOps Engineer,Extracted via local fallback parser (LLM unavailable).,Containerization Engineer
For Employers,Unknown,AI Agent,Extracted via local fallback parser (LLM unavailable).,Front-End Engineer
For Employers,Unknown,Resume AI,Extracted via local fallback parser (LLM unavailable).,Front-End Engineer
TRY FOR FREE,Unknown,Do it with AI,Extracted via local fallback parser (LLM unavailable).,Front-End Engineer
TRY FOR FREE,Unknown,"Get matched jobs, autofill applications, tailored resume, and recommended insider connections in less than 1 min!",Extracted via local fallback parser (LLM unavailable).,Front-End Engineer
OneEnergy · 11 minutes ago,Unknown,QA Technical Analyst,Extracted via local fallback parser (LLM unavailable).,Front-End Engineer
For Employers,Unknown,AI Agent,Extracted via local fallback parser (LLM unavailable).,Back-End Engineer
For Employers,Unknown,Resume AI,Extracted via local fallback parser (LLM unavailable).,Back-End Engineer
TRY FOR FREE,Unknown,Do it with AI,Extracted via local fallback parser (LLM unavailable).,Back-End Engineer
TRY FOR FREE,Unknown,"Get matched jobs, autofill applications, tailored resume, and recommended insider connections in less than 1 min!",Extracted via local fallback parser (LLM unavailable).,Back-End Engineer
"California Rural Legal Assistance, Inc. · 3 minutes ago",Unknown,"Senior Director, Premium Brands",Extracted via local fallback parser (LLM unavailable).,Back-End Engineer
For Employers,Unknown,AI Agent,Extracted via local fallback parser (LLM unavailable).,Full-Stack Engineer
For Employers,Unknown,Resume AI,Extracted via local fallback parser (LLM unavailable).,Full-Stack Engineer
TRY FOR FREE,Unknown,Do it with AI,Extracted via local fallback parser (LLM unavailable).,Full-Stack Engineer
TRY FOR FREE,Unknown,"Get matched jobs, autofill applications, tailored resume, and recommended insider connections in less than 1 min!",Extracted via local fallback parser (LLM unavailable).,Full-Stack Engineer
Senior Director Of Product Management,Unknown,QA Technical Analyst,Extracted via local fallback parser (LLM unavailable).,Full-Stack Engineer
For Employers,Unknown,AI Agent,Extracted via local fallback parser (LLM unavailable).,Mobile Engineer
For Employers,Unknown,Resume AI,Extracted via local fallback parser (LLM unavailable).,Mobile Engineer
TRY FOR FREE,Unknown,Do it with AI,Extracted via local fallback parser (LLM unavailable).,Mobile Engineer
TRY FOR FREE,Unknown,"Get matched jobs, autofill applications, tailored resume, and recommended insider connections in less than 1 min!",Extracted via local fallback parser (LLM unavailable).,Mobile Engineer
80%,Unknown,interviews landed,Extracted via local fallback parser (LLM unavailable).,Mobile Engineer
For Employers,Unknown,AI Agent,Extracted via local fallback parser (LLM unavailable).,Systems Engineer
For Employers,Unknown,Resume AI,Extracted via local fallback parser (LLM unavailable).,Systems Engineer
TRY FOR FREE,Unknown,Do it with AI,Extracted via local fallback parser (LLM unavailable).,Systems Engineer
TRY FOR FREE,Unknown,"Get matched jobs, autofill applications, tailored resume, and recommended insider connections in less than 1 min!",Extracted via local fallback parser (LLM unavailable).,Systems Engineer
Senior Director Of Product Management,Unknown,QA Technical Analyst,Extracted via local fallback parser (LLM unavailable).,Systems Engineer
About Us,Unknown,AI Agent,Extracted via local fallback parser (LLM unavailable).,Game Developer
About Us,Unknown,Resume AI,Extracted via local fallback parser (LLM unavailable).,Game Developer
About Us,Unknown,For Employers,Extracted via local fallback parser (LLM unavailable).,Game Developer
TRY FOR FREE,Unknown,Do it with AI,Extracted via local fallback parser (LLM unavailable).,Game Developer
TRY FOR FREE,Unknown,"Get matched jobs, autofill applications, tailored resume, and recommended insider connections in less than 1 min!",Extracted via local fallback parser (LLM unavailable).,Game Developer
For Employers,Unknown,AI Agent,Extracted via local fallback parser (LLM unavailable).,Security Analyst
For Employers,Unknown,Resume AI,Extracted via local fallback parser (LLM unavailable).,Security Analyst
TRY FOR FREE,Unknown,Do it with AI,Extracted via local fallback parser (LLM unavailable).,Security Analyst
TRY FOR FREE,Unknown,"Get matched jobs, autofill applications, tailored resume, and recommended insider connections in less than 1 min!",Extracted via local fallback parser (LLM unavailable).,Security Analyst
3x,Unknown,trusted users,Extracted via local fallback parser (LLM unavailable).,Security Analyst
For Employers,Unknown,AI Agent,Extracted via local fallback parser (LLM unavailable).,Penetration Tester
For Employers,Unknown,Resume AI,Extracted via local fallback parser (LLM unavailable).,Penetration Tester
TRY FOR FREE,Unknown,Do it with AI,Extracted via local fallback parser (LLM unavailable).,Penetration Tester
TRY FOR FREE,Unknown,"Get matched jobs, autofill applications, tailored resume, and recommended insider connections in less than 1 min!",Extracted via local fallback parser (LLM unavailable).,Penetration Tester
3x,Unknown,trusted users,Extracted via local fallback parser (LLM unavailable).,Penetration Tester
For Employers,Unknown,AI Agent,Extracted via local fallback parser (LLM unavailable).,Security Engineer
For Employers,Unknown,Resume AI,Extracted via local fallback parser (LLM unavailable).,Security Engineer
TRY FOR FREE,Unknown,Do it with AI,Extracted via local fallback parser (LLM unavailable).,Security Engineer
TRY FOR FREE,Unknown,"Get matched jobs, autofill applications, tailored resume, and recommended insider connections in less than 1 min!",Extracted via local fallback parser (LLM unavailable).,Security Engineer
Senior Director Of Product Management,Unknown,QA Technical Analyst,Extracted via local fallback parser (LLM unavailable).,Security Engineer
For Employers,Unknown,AI Agent,Extracted via local fallback parser (LLM unavailable).,Cloud Security Engineer
For Employers,Unknown,Resume AI,Extracted via local fallback parser (LLM unavailable).,Cloud Security Engineer
"REAL RESULTS, NOT JUST PROMISES",Unknown,Do it with AI,Extracted via local fallback parser (LLM unavailable).,Cloud Security Engineer
"REAL RESULTS, NOT JUST PROMISES",Unknown,"Get matched jobs, autofill applications, tailored resume, and recommended insider connections in less than 1 min!",Extracted via local fallback parser (LLM unavailable).,Cloud Security Engineer
"REAL RESULTS, NOT JUST PROMISES",Unknown,TRY FOR FREE,Extracted via local fallback parser (LLM unavailable).,Cloud Security Engineer
Blog,Unknown,AI Agent,Extracted via local fallback parser (LLM unavailable).,SOC Analyst
Blog,Unknown,Resume AI,Extracted via local fallback parser (LLM unavailable).,SOC Analyst
Blog,Unknown,For Employers,Extracted via local fallback parser (LLM unavailable).,SOC Analyst
Blog,Unknown,About Us,Extracted via local fallback parser (LLM unavailable).,SOC Analyst
TRY FOR FREE,Unknown,Do it with AI,Extracted via local fallback parser (LLM unavailable).,SOC Analyst
For Employers,Unknown,AI Agent,Extracted via local fallback parser (LLM unavailable).,Application Security
For Employers,Unknown,Resume AI,Extracted via local fallback parser (LLM unavailable).,Application Security
TRY FOR FREE,Unknown,Do it with AI,Extracted via local fallback parser (LLM unavailable).,Application Security
TRY FOR FREE,Unknown,"Get matched jobs, autofill applications, tailored resume, and recommended insider connections in less than 1 min!",Extracted via local fallback parser (LLM unavailable).,Application Security
"Senior Director, Premium Brands",Unknown,Marriott International · 1 minute ago,Extracted via local fallback parser (LLM unavailable).,Application Security
About Us,Unknown,AI Agent,Extracted via local fallback parser (LLM unavailable).,GRC Analyst
About Us,Unknown,Resume AI,Extracted via local fallback parser (LLM unavailable).,GRC Analyst
About Us,Unknown,For Employers,Extracted via local fallback parser (LLM unavailable).,GRC Analyst
TRY FOR FREE,Unknown,Do it with AI,Extracted via local fallback parser (LLM unavailable).,GRC Analyst
TRY FOR FREE,Unknown,"Get matched jobs, autofill applications, tailored resume, and recommended insider connections in less than 1 min!",Extracted via local fallback parser (LLM unavailable).,GRC Analyst
For Employers,Unknown,AI Agent,Extracted via local fallback parser (LLM unavailable).,Machine Learning Engineer
For Employers,Unknown,Resume AI,Extracted via local fallback parser (LLM unavailable).,Machine Learning Engineer
TRY FOR FREE,Unknown,Do it with AI,Extracted via local fallback parser (LLM unavailable).,Machine Learning Engineer
TRY FOR FREE,Unknown,"Get matched jobs, autofill applications, tailored resume, and recommended insider connections in less than 1 min!",Extracted via local fallback parser (LLM unavailable).,Machine Learning Engineer
80%,Unknown,interviews landed,Extracted via local fallback parser (LLM unavailable).,Machine Learning Engineer
For Employers,Unknown,AI Agent,Extracted via local fallback parser (LLM unavailable).,Data Scientist
For Employers,Unknown,Resume AI,Extracted via local fallback parser (LLM unavailable).,Data Scientist
TRY FOR FREE,Unknown,Do it with AI,Extracted via local fallback parser (LLM unavailable).,Data Scientist
TRY FOR FREE,Unknown,"Get matched jobs, autofill applications, tailored resume, and recommended insider connections in less than 1 min!",Extracted via local fallback parser (LLM unavailable).,Data Scientist
for 80% of job seekers after their first use,Unknown,No.1 Choice,Extracted via local fallback parser (LLM unavailable).,Data Scientist
For Employers,Unknown,AI Agent,Extracted via local fallback parser (LLM unavailable).,AI Engineer
For Employers,Unknown,Resume AI,Extracted via local fallback parser (LLM unavailable).,AI Engineer
